MIDAS,Lake,Towns,Flushes_p_yr,Trop_Cat,Dam,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery,Area_sq_m,Perim_km,D_Mean_m,D_Max_m,Volume_m3,DDrain_ha,TDrain_ha,Elev_m
4066,Dead Stream Pond,"West Forks Plt, Chase Stream Twp",8.2,MESO,surface increased <50%,KENNEBEC,MOOSEHEAD LAKE,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,428647,5032566,45.44297572,-69.91237815,n/a,None known,Coldwater,263045.67,0.37,4.3,13.1,964299,127,2017.6,303.3
4070,Little Indian Pond,Squaretown Twp,1.58,NA,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Indian Pond South,Somerset,434704,5029771,45.41840842,-69.83456015,n/a,None known,Coldwater,89030.84,0.18,3.7,6.7,300003,79,119.14,330.7
4072,Scribner Bog,Squaretown Twp,NA,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Indian Pond South,Somerset,433457,5027900,45.40145558,-69.85024814,n/a,None known,Coldwater,52609.13,0.19,NA,NA,NA,NA,3211.59,313
4074,Frypan Pond,Squaretown Twp,24.78,EUTRO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Indian Pond South,Somerset,439620,5028180,45.40453079,-69.77153972,n/a,None known,Coldwater,113311.98,0.26,0.9,1.2,50494,193,44.03,383.4
4076,Round Pond,Squaretown Twp,1.51,MESO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Indian Pond South,Somerset,440565,5029257,45.41430737,-69.75960063,n/a,None known,Coldwater,182108.54,0.23,3,5.8,538567,115,129.5,449.3
4078,Tobey Pond,Johnson Mountain Twp,1.7,NA,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,422874,5032912,45.44547575,-69.98623762,n/a,None known,Coldwater,44515.42,0.14,4.3,12.2,135001,36,56.98,350.5
4080,Chase Stream Pond,Chase Stream Twp,NA,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,429612,5035013,45.46801126,-69.90522087,n/a,None known,n/a,68796.56,0.11,NA,NA,NA,NA,4402.98,295.7
4082,Horseshoe Pond,Chase Stream Twp,6.61,MESO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,427058,5034240,45.45788045,-69.93294692,n/a,None known,Coldwater,125452.55,0.18,4.3,8.8,432330,256,554.26,325.8
4084,Mud Pond,Chase Stream Twp,30.310000000000002,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,428016,5032908,45.44598609,-69.92049032,n/a,None known,n/a,40468.56,0.11,NA,NA,240002,444,1758.6,307.8
4086,Ellis Pond,Chase Stream Twp,1.3900000000000001,MESO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,425868,5033388,45.45008761,-69.9480347,Above average,None known,Coldwater,408732.5,0.34,5.5,11.6,1792684,452,802.9,336.5
4088,Ten Thousand Acre Pond,Chase Stream Twp,8.19,EUTRO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Misery Knob,Somerset,425374,5039532,45.50532714,-69.95528637,n/a,None known,Coldwater,141639.97,0.19,1.5,2.7,183224,267,328.93,403.3
4089,Flatiron Pond,Chase Stream Twp,NA,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,423469,5034727,45.46187292,-69.97891674,n/a,None known,n/a,16187.43,0.06,NA,NA,NA,NA,95.83,374.9
4090,Indian Pond,"Big Squaw Twp, Chase Stream Twp, Indian Stream Twp",22.650000000000002,MESO,surface increased >50%,KENNEBEC,MOOSEHEAD LAKE,Kennebec River (2) above The Forks,103000106,Indian Pond North,Somerset,436109,5040557,45.51561917,-69.8180091,Above average,None known,Coldwater,13981888.94,7.92,6.4,36,79058104,25324.86,358454.35,291.1
4092,Round Pond,Chase Stream Twp,2.26,MESO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,426140,5035386,45.46809779,-69.94485866,Average,None known,Coldwater,145686.83,0.14,3.4,11.6,467991,193,199.43,349
4093,Chase Stream Pond,"Chase Stream Twp, Misery Twp",2.69,OLIGO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Misery Knob,Somerset,423648,5040279,45.5118577,-69.97749362,n/a,None known,Remote,93077.7,0.16,2.1,3.7,253074,110,173.53,489.2
4094,Island Pond,Chase Stream Twp,1.23,MESO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,427096,5035697,45.47099506,-69.93267146,n/a,None known,Coldwater,101171.41,0.21,4,11,345704,72,88.06,352.3
4097,Chub Pond,Chase Stream Twp,2.88,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,424361,5038256,45.49372974,-69.96804993,n/a,None known,No fishery,28327.99,0.06,NA,NA,90001,46,12.95,435.9
4098,Knights Pond,Chase Stream Twp,NA,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Black Brook Pond,Somerset,427648,5038160,45.49321878,-69.92597805,n/a,None known,n/a,12140.57,0.05,NA,NA,NA,NA,95.83,333.8
4100,Round Pond,Sapling Twp,NA,NA,NA,KENNEBEC,MOOSEHEAD LAKE,Kennebec River (2) above The Forks,103000106,Indian Pond North,Somerset,439797,5048010,45.58302304,-69.77171023,n/a,None known,n/a,137593.12,0.26,NA,NA,NA,NA,8676.46,295.7
4102,Horseshoe Pond,East Moxie Twp,1.17,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Moxie Pond,Somerset,439615,5023756,45.36471626,-69.77106661,n/a,None known,Coldwater,64749.7,0.16,NA,NA,300003,49,56.98,446.5
4104,Goose Pond,East Moxie Twp,NA,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (2) above The Forks,103000106,Moxie Pond,Somerset,434104,5021904,45.34754976,-69.84118503,n/a,None known,n/a,4046.86,0.05,NA,NA,NA,NA,NA,307.8
4106,Pooler Ponds,The Forks Plt,7.54,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,The Forks,Somerset,422394,5015777,45.29120547,-69.98968432,n/a,None known,n/a,32374.85,0.11,NA,NA,121501,160,108.78,161.5
4108,Long Pond,The Forks Plt,8.16,EUTRO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,The Forks,Somerset,422005,5013470,45.27040014,-69.99428027,n/a,None known,Coldwater,93077.7,0.21,2.7,9.1,203947,289,108.78,162.8
4110,Otter Pond,Sandwich Academy Grant Twp,11.41,EUTRO,no dam,KENNEBEC,LOWER MOOSE,Brassua Lake,103000104,Misery Knob,Somerset,429276,5050404,45.60357691,-69.90690982,n/a,None known,Coldwater,56655.99,0.19,1.2,4.6,150001,339,370.37,391.7
4112,Little Otter Pond,Sandwich Academy Grant Twp,2.85,EUTRO,no dam,KENNEBEC,LOWER MOOSE,Brassua Lake,103000104,Misery Knob,Somerset,427264,5050842,45.60731145,-69.93277175,n/a,None known,Coldwater,36421.71,0.08,1.5,2.7,47805,26,28.49,460.9
4114,Demo Pond,Rockwood Strip T2 R1 NBKP,1.61,EUTRO,surface increased <50%,KENNEBEC,LOWER MOOSE,Brassua Lake,103000104,Brassua Lake West,Somerset,424708,5055638,45.65020795,-69.96629001,n/a,None known,Coldwater,683918.74,0.32,2.4,3.7,1387780,418,489.51,360.6
4118,Long Pond,Taunton & Raynham Academy Grant,NA,MESO,no dam,KENNEBEC,MOOSEHEAD LAKE,Kennebec River (2) above The Forks,103000106,Brassua Lake East,Somerset,440708,5054547,45.64193919,-69.76083388,n/a,None known,Coldwater,602981.61,0.45,2.7,8.8,NA,NA,NA,311.5
4119,unnamed pond,Taunton & Raynham Academy Grant,NA,NA,NA,NA,NA,Kennebec River (2) above The Forks,103000106,Brassua Lake East,Somerset,439398,5052804,45.6261394,-69.77742573,n/a,None known,n/a,169967.97,0.32,NA,NA,NA,NA,NA,308.5
4120,Brassua Lake,"Taunton & Raynham Academy Grant, Brassua Twp, Rock",2.5,MESO,surface increased <50%,KENNEBEC,LOWER MOOSE,Brassua Lake,103000104,Brassua Lake West,Somerset,431498,5053579,45.64185538,-69.91254927,n/a,None known,Coldwater,38258980.62,11.91,9.1,19.8,339412539,31989.82,185443.15,327.4
4121,unnamed pond,Taunton & Raynham Academy Grant,NA,NA,NA,NA,NA,Kennebec River (2) above The Forks,103000106,Indian Pond North,Somerset,438372,5051548,45.61474458,-69.79043025,n/a,None known,n/a,129499.41,0.35,NA,NA,NA,NA,NA,307.2
4122,Baker Pond,Tomhegan Twp,4.13,EUTRO,no dam,KENNEBEC,MOOSEHEAD LAKE,Moosehead Lake,103000105,Brassua Lake East,Somerset,434169,5063976,45.72620609,-69.84601349,n/a,None known,Coldwater,319701.66,0.26,0.9,1.8,244090,188,523.18,328.6
4124,Leith Pond,Brassua Twp,16,NA,NA,KENNEBEC,LOWER MOOSE,Brassua Lake,103000104,Brassua Lake West,Somerset,429271,5065621,45.74052514,-69.90919678,n/a,None known,n/a,60702.85,0.21,NA,NA,219002,721,727.79,338.3
4126,West Garland Pond,Garland,21.32,MESO,no dam,PENOBSCOT,KENDUSKEAG,Kenduskeag Stream,102000510,Garland,Penobscot,483872,4985766,45.02515982,-69.20472103,n/a,None known,Warmwater,125452.55,0.16,3.7,11.6,481197,2007.99,1857.02,106.4
4128,Garland Pond,Garland,27.97,EUTRO,surface increased >50%,PENOBSCOT,KENDUSKEAG,Kenduskeag Stream,102000510,Garland,Penobscot,486384,4986727,45.03386649,-69.17285466,Below average,None known,Warmwater,517997.62,0.55,1.5,4.3,570237,1084.99,2952.59,95.1
4129,unnamed pond,Dover-Foxcroft,NA,NA,NA,NA,NA,Piscataquis River (3),102000402,Garland,Piscataquis,485529,4995217,45.11027505,-69.18396581,n/a,None known,n/a,20234.28,0.06,NA,NA,NA,NA,NA,134.1
4130,Branns Mill Pond (North),"Garland, Dover-Foxcroft",17.02,EUTRO,surface increased <50%,PENOBSCOT,MIDDLE PISCATAQUIS,Piscataquis River (3),102000402,Garland,Piscataquis,486555,4994638,45.10507805,-69.17090225,n/a,None known,Warmwater,1424493.46,0.23,1.2,4.6,1225226,3738.98,3677.78,134.1
4131,Snow's Pond,Dover-Foxcroft,10.81,EUTRO,surface increased >50%,PENOBSCOT,MIDDLE PISCATAQUIS,Piscataquis River (3),102000402,Dover-Foxcroft,Piscataquis,480859,5005260,45.20056756,-69.24371397,n/a,None known,Warmwater,105218.27,0.23,1.2,2.4,303003,576,NA,111.3
4132,Garland Pond,"Dover-Foxcroft, Sebec",2.02,MESO,surface increased <50%,PENOBSCOT,MIDDLE PISCATAQUIS,Piscataquis River (3),102000402,Dover-Foxcroft,Piscataquis,486840,5007454,45.22045425,-69.16761158,Average,None known,Coldwater,109265.12,0.14,3.4,11.6,473056,161,168.35,171.9
4134,Harriman Pond,Sebec,5.3100000000000005,NA,NA,PENOBSCOT,MIDDLE PISCATAQUIS,Piscataquis River (3),102000402,Dover-Foxcroft,Piscataquis,489608,5008552,45.23038315,-69.13237995,n/a,None known,No fishery,89030.84,0.21,NA,NA,300003,283,297.85,144.8
4136,Parker Pond,Sebec,4.38,NA,no dam,PENOBSCOT,MIDDLE PISCATAQUIS,Piscataquis River (3),102000402,South Sebec,Piscataquis,491047,5009143,45.23572372,-69.11405798,n/a,None known,Warmwater,72843.42,0.11,0.6,1.2,240002,182,212.38,151.2
4138,Dow Pond,Sebec,30.7,MESO,no dam,PENOBSCOT,MIDDLE PISCATAQUIS,Piscataquis River (3),102000402,South Sebec,Piscataquis,494417,5010435,45.24738835,-69.0711386,n/a,None known,Bait,93077.7,0.29,3,6.4,160876,688,914.27,140.5
4140,Jack Pond,T7 R10 WELS,3.63,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,500740,5127799,46.30376513,-68.99039359,n/a,None known,n/a,32374.85,0.1,NA,NA,120001,74,134.68,243.2
4142,Big Caribou Pond,T7 R10 WELS,11.53,EUTRO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,501172,5127137,46.29781087,-68.98478311,n/a,None known,Coldwater,222577.1,0.39,1.8,7.9,690006,1249.99,1193.98,242.3
4144,Little Caribou Pond,T7 R10 WELS,NA,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,502092,5126458,46.29169542,-68.97284053,n/a,None known,Coldwater,44515.42,0.08,NA,NA,NA,NA,1572.12,241.1
4146,Elsie Pond,T7 R10 WELS,4.17,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,503093,5126458,46.29169539,-68.95984393,n/a,None known,n/a,8093.71,0.05,NA,NA,28800,20,25.9,240.8
4148,Ervin Pond,T7 R10 WELS,8.32,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,502857,5125352,46.28174108,-68.96290995,n/a,None known,n/a,32374.85,0.08,NA,NA,90001,131,59.57,230.1
4152,Little Moose Pond,T7 R10 WELS,4.08,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,500467,5124468,46.27378904,-68.99394491,n/a,None known,n/a,84983.98,0.13,NA,NA,300003,209,116.55,250.5
4154,Kyle Pond,T7 R9 WELS,11.92,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,507565,5124082,46.27026883,-68.90182891,n/a,None known,n/a,24281.14,0.08,NA,NA,60001,126,142.45,236.2
4156,Little Millinocket Lake,"T7 R9 WELS, T7 R10 WELS, T8 R9 WELS",1.86,MESO,surface increased <50%,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,503462,5125217,46.30185105,-68.87765227,Average,None known,Coldwater,11047918.03,3.86,6.7,16.5,1050880,1825.99,18181.72,229.8
4158,Round Pond,"T7 R8 WELS, T7 R9 WELS",NA,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake East,Piscataquis,513766,5127676,46.30251807,-68.82123817,n/a,None known,Coldwater,105218.27,0.27,NA,NA,NA,NA,18337.12,224.9
4160,Tilly Pond,T7 R9 WELS,14.81,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake East,Piscataquis,512995,5126730,46.29401993,-68.83128083,n/a,None known,n/a,20234.28,0.06,NA,NA,60001,157,15.54,242.3
4162,Big Beaver Pond,T7 R9 WELS,2.72,EUTRO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake East,Piscataquis,511029,5123380,46.26390948,-68.85688275,n/a,None known,Coldwater,1145260.37,1.32,2.7,6.7,2666834,1182.99,1105.92,238.4
4164,Little Beaver Pond,T7 R9 WELS,6.61,MESO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake East,Piscataquis,511057,5122367,46.25479011,-68.85654206,n/a,None known,Coldwater,453247.92,0.55,5.2,7.6,1511007,443,1756.01,227.1
4166,Soule Pond,T7 R8 WELS,2.16,NA,NA,PENOBSCOT,SEBOEIS RIVER,Millimagasset Stream,101000401,Millinocket Lake East,Penobscot,514157,5124609,46.27490757,-68.81625495,n/a,None known,n/a,68796.56,0.14,NA,NA,240002,85,101.01,232.3
4168,Ireland Pond,T7 R8 WELS,0.7000000000000001,OLIGO,no dam,PENOBSCOT,SEBOEIS RIVER,Seboeis River,102000204,Millinocket Lake East,Penobscot,517653,5122318,46.25420525,-68.7709629,n/a,None known,Remote,174014.83,0.29,4.3,10.7,642383,66,80.29,255.4
4170,Little Marsh Pond,T8 R9 WELS,14.5,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake East,Piscataquis,512236,5130720,46.32994842,-68.84103228,n/a,None known,n/a,16187.43,0.06,NA,NA,54000,136,NA,243.8
4172,West Sawtelle Pond,T7 R8 WELS,16.59,NA,NA,PENOBSCOT,SEBOEIS RIVER,Seboeis River,102000204,Millinocket Lake East,Penobscot,518809,5123906,46.26846969,-68.75590527,n/a,None known,n/a,20234.28,0.1,NA,NA,90001,255,183.89,231
4174,Big Marsh Pond,T8 R9 WELS,13.19,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Munsungan Stream,101000402,Millinocket Lake East,Piscataquis,510815,5131887,46.34047427,-68.85946193,n/a,None known,n/a,20234.28,0.08,NA,NA,72001,168,183.89,245.7
4176,Atkins Pond,T8 R9 WELS,2.35,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Millimagasset Stream,101000401,Millinocket Lake West,Piscataquis,504795,5128374,46.30892718,-68.93772227,n/a,None known,n/a,129499.41,0.19,NA,NA,390003,146,165.76,240.8
4178,Brown Pond,T8 R9 WELS,5.32,EUTRO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Munsungan Stream,101000402,Middle Brook Mtn,Piscataquis,513204,5136218,46.37940813,-68.82829947,n/a,None known,Coldwater,396591.93,0.34,0.9,1.8,309689,264,279.72,280.1
4180,Little Munsungan Lake,"T8 R9 WELS, T8 R10 WELS, T9 R10 WELS",1.37,MESO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Munsungan Stream,101000402,Mooseleuk Mtn,Piscataquis,500178,5136393,46.38110895,-68.99768923,Above average,None known,Coldwater,6474970.28,1.69,11.9,37.5,85217707,7068.96,23413.49,247.2
4182,Brown Brook Pond,T9 R9 WELS,70.76,EUTRO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Munsungan Stream,101000402,Mooseleuk Mtn,Piscataquis,507223,5140418,46.41730039,-68.9060048,n/a,None known,Coldwater,20234.28,0.06,0.9,1.2,10114,122,124.32,416.7
4184,Smith Brook Pond,T9 R10 WELS,60.800000000000004,EUTRO,no dam,ST. JOHN,MOOSELEUK-MUNSUNGAN,Mooseleuk Stream,101000403,Mooseleuk Mtn,Piscataquis,502214,5145425,46.46239007,-68.97117251,n/a,None known,Bait,60702.85,0.14,0.3,0.9,18409,186,191.66,337.7
4186,Norway Pond,T9 R10 WELS,NA,NA,NA,ST. JOHN,MOOSELEUK-MUNSUNGAN,Munsungan Stream,101000402,Mooseleuk Mtn,Piscataquis,501344,5141644,46.42836953,-68.98250153,n/a,None known,n/a,12140.57,0.05,NA,NA,NA,NA,119.14,381
4188,Long Pond,T4 R9 WELS,NA,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,505860,5094092,46.00037296,-68.92431753,n/a,None known,n/a,32374.85,0.13,NA,NA,NA,NA,2046.09,405.7
4192,Six Ponds #4,T4 R9 WELS,1.71,MESO,no dam,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,505810,5095113,46.00956792,-68.92494871,n/a,None known,Coldwater,97124.55,0.24,NA,5.2,138958,198,225.33,408.1
4194,Draper Pond,T4 R9 WELS,NA,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,504574,5094909,46.00773702,-68.94092061,n/a,None known,n/a,12140.57,0.05,NA,NA,NA,NA,NA,437.4
4196,Six Ponds #3,T4 R9 WELS,NA,EUTRO,no dam,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,505598,5095012,46.00865674,-68.92769824,n/a,None known,Coldwater,40468.56,0.08,NA,1.2,NA,NA,1289.81,407.8
4198,Six Ponds #5 (North),T4 R9 WELS,0.71,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,506596,5095002,46.00855976,-68.91480649,n/a,None known,n/a,24281.14,0.03,NA,NA,120001,10,15.54,416.1
4200,Six Ponds #6,T4 R9 WELS,NA,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,506754,5095101,46.00944695,-68.91276491,n/a,None known,n/a,4046.86,0.03,NA,NA,NA,NA,NA,416.1
4202,Six Ponds #2,T4 R9 WELS,NA,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,505102,5095021,46.00874048,-68.93409989,n/a,None known,n/a,8093.71,0.05,NA,NA,NA,NA,NA,409.7
4204,Six Ponds #1,T4 R9 WELS,NA,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,504946,5094987,46.00844238,-68.93612026,n/a,None known,n/a,4046.86,0.02,NA,NA,NA,NA,NA,410
4206,Pogy Pond,T4 R9 WELS,5.36,MESO,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,508330,5097684,46.03267874,-68.89236256,n/a,None known,Coldwater,89030.84,0.16,NA,NA,286802,146,67.34,347.5
4208,Weed Pond,T4 R9 WELS,4.33,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,509557,5097634,46.03221684,-68.8765044,n/a,None known,Coldwater,80937.13,0.13,NA,NA,222902,145,181.3,348.7
4210,Bell Pond,T4 R9 WELS,NA,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,509077,5094368,46.00282707,-68.88277284,n/a,None known,n/a,12140.57,0.05,NA,NA,NA,NA,NA,358.1
4212,Wassataquoik Lake,"T4 R9 WELS, T4 R10 WELS",0.71,OLIGO,no dam,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,503722,5095834,46.01607134,-68.95191795,n/a,None known,Coldwater,692012.45,0.71,9.1,24.1,7300179,600,735.56,419.4
4214,Little Wassataquoik Lk,T4 R10 WELS,8.06,MESO,no dam,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (3),102000205,Wassataquoik Lake,Piscataquis,502753,5097345,46.02967443,-68.96442939,n/a,None known,Coldwater,32374.85,0.1,1.8,3,51437,65,75.11,485.2
4216,Traveler Pond,T5 R9 WELS,NA,NA,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,East Branch Penobscot River (2),102000203,The Traveler,Piscataquis,512865,5099507,46.04901429,-68.83370741,n/a,None known,Coldwater,24281.14,0.06,NA,2.7,NA,NA,95.83,577.6
4218,Little Fowler Pond,T5 R9 WELS,5.66,NA,NA,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,The Traveler,Piscataquis,512944,5107205,46.1182957,-68.8324748,n/a,None known,n/a,12140.57,0.05,NA,NA,60001,54,NA,315.5
4220,Middle Fowler Pond,T5 R9 WELS,4.2,MESO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,The Traveler,Piscataquis,512077,5107588,46.12176433,-68.84369125,n/a,None known,Coldwater,178061.68,0.29,4,8.2,765479,412,492.1,301.8
4222,Lower South Branch Pd,T5 R9 WELS,3.94,OLIGO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Wassataquoik Lake,Piscataquis,508019,5105474,46.10279054,-68.89625089,n/a,None known,Coldwater,437060.49,0.35,9.8,18.3,4400612,1046.99,2848.99,299
4224,Upper South Branch Pd,T5 R9 WELS,2.41,OLIGO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Wassataquoik Lake,Piscataquis,508286,5103985,46.08939255,-68.89281691,n/a,None known,Coldwater,388498.22,0.29,13.1,23.2,4806470,1600.99,1727.52,300.2
4226,Mahar Pond,T5 R9 WELS,1.15,NA,NA,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Wassataquoik Lake,Piscataquis,505866,5101043,46.06293388,-68.92415613,n/a,None known,n/a,28327.99,0.08,NA,NA,49200,12,15.54,591
4228,Blunder Pond,T6 R10 WELS,4.34,NA,NA,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Frost Pond,Piscataquis,500905,5111673,46.15863697,-68.98828184,n/a,None known,n/a,80937.13,0.13,NA,NA,240002,184,196.84,307.8
4230,Long Pond,Trout Brook Twp,0.62,OLIGO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Trout Brook Mtn,Piscataquis,512416,5109217,46.13641512,-68.83926089,n/a,None known,Coldwater,206389.68,0.23,4.3,10.1,961665,88,111.37,277.4
4232,Lower Fowler Pond,Trout Brook Twp,9,MESO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Trout Brook Mtn,Piscataquis,510722,5108779,46.13249899,-68.86120272,n/a,None known,Coldwater,238764.53,0.31,2.4,4.6,542652,384,901.32,264.3
4234,Round Pond,Trout Brook Twp,1.23,OLIGO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,East Branch Penobscot River (2),102000203,Trout Brook Mtn,Piscataquis,513054,5109289,46.1370503,-68.83099937,n/a,None known,Coldwater,24281.14,0.06,3.7,9.4,79214,14,NA,281.9
4236,High Pond,Trout Brook Twp,1.96,MESO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Trout Brook Mtn,Piscataquis,512177,5109531,46.13924615,-68.84234435,n/a,None known,Coldwater,44515.42,0.1,2.4,4.6,114345,36,46.62,283.8
4238,Frost Pond,Trout Brook Twp,4,EUTRO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Frost Pond,Piscataquis,506463,5113396,46.17411104,-68.91626648,n/a,None known,Coldwater,161874.26,0.26,1.8,9.8,265362,174,168.35,267
4240,Saddle Pond,T7 R9 WELS,10.19,MESO,no dam,PENOBSCOT,MIDDLE E. BR. PENOBSCOT,Grand Lake Matagamon,102000202,Trout Brook Mtn,Piscataquis,509895,5118882,46.22344713,-68.87168997,n/a,None known,Coldwater,315654.8,0.39,1.8,4,561524,1016.99,1067.08,211.8
4242,Hathorn Pond,T4 R8 WELS,3.67,NA,NA,PENOBSCOT,LOWER E. BR. PENOBSCOT,East Branch Penobscot River (2),102000203,The Traveler,Penobscot,518042,5094866,46.00713204,-68.76696539,n/a,None known,Remote,60702.85,0.11,NA,1.5,189602,113,139.86,271.9
